コントロールカラム,商品管理番号（商品URL）,商品名,表示先カテゴリ,優先度,URL,1ページ複数形式
"","18t_gear_ring","FORMULA 18Tギア＆アルミロックリングセット","ブランド\FORMULA","9999","http://item.rakuten.co.jp/brotures/c/0000000189/",""
"","18t_gear_ring","FORMULA 18Tギア＆アルミロックリングセット","パーツ\スプロケット","9999","http://item.rakuten.co.jp/brotures/c/0000000135/",""
"","34a2","Lifu ペダルボックスレンチ","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","36q_1","Lifu アーレンキーセット","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","442110","crankbrothers cobalt GRIP","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","53a2","Lifu スプロケット外し","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","570350_800","crankbrothers クワトロ２ホールクリート","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","570351_800","crankbrothers シューシールド","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","571180_800","crankbrothers トレッドコンタクトスリーブ キャンディ","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","571181_800","crankbrothers トレッドコンタクトスリーブ エッグビーター","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","571209","crankbrothers プレミアムクリート","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","9th-b_b","【ピストバイク 完成車】 クリエイト 9th マットブラック  (CREATE 9th Matte Black / A-Black) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","パーツ\完成車","9999","http://item.rakuten.co.jp/brotures/c/0000000127/",""
"","9th-b_b","【ピストバイク 完成車】 クリエイト 9th マットブラック  (CREATE 9th Matte Black / A-Black) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","ブランド\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000179/",""
"","9th-b_b","【ピストバイク 完成車】 クリエイト 9th マットブラック  (CREATE 9th Matte Black / A-Black) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","完成車\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000125/",""
"","9th-b_bl","【ピストバイク 完成車】 クリエイト 9th マットブルー  (CREATE 9th Matte Black / A-Blue) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","パーツ\完成車","9999","http://item.rakuten.co.jp/brotures/c/0000000127/",""
"","9th-b_bl","【ピストバイク 完成車】 クリエイト 9th マットブルー  (CREATE 9th Matte Black / A-Blue) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","ブランド\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000179/",""
"","9th-b_bl","【ピストバイク 完成車】 クリエイト 9th マットブルー  (CREATE 9th Matte Black / A-Blue) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","完成車\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000125/",""
"","9th-bl_r","【ピストバイク 完成車】 クリエイト 9th レッド  (CREATE 9th Blue / A-Red) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","パーツ\完成車","9999","http://item.rakuten.co.jp/brotures/c/0000000127/",""
"","9th-bl_r","【ピストバイク 完成車】 クリエイト 9th レッド  (CREATE 9th Blue / A-Red) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","ブランド\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000179/",""
"","9th-bl_r","【ピストバイク 完成車】 クリエイト 9th レッド  (CREATE 9th Blue / A-Red) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","完成車\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000125/",""
"","9th-gry_or","【ピストバイク 完成車】 クリエイト 9th オレンジ  (CREATE 9th Matte Gray / A-Orange) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","パーツ\完成車","9999","http://item.rakuten.co.jp/brotures/c/0000000127/",""
"","9th-gry_or","【ピストバイク 完成車】 クリエイト 9th オレンジ  (CREATE 9th Matte Gray / A-Orange) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","ブランド\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000179/",""
"","9th-gry_or","【ピストバイク 完成車】 クリエイト 9th オレンジ  (CREATE 9th Matte Gray / A-Orange) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","完成車\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000125/",""
"","9th-mi_bronze","【ピストバイク 完成車】 クリエイト 9th ブロンズ  (CREATE 9th Mint / A-Bronze) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","パーツ\完成車","9999","http://item.rakuten.co.jp/brotures/c/0000000127/",""
"","9th-mi_bronze","【ピストバイク 完成車】 クリエイト 9th ブロンズ  (CREATE 9th Mint / A-Bronze) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","ブランド\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000179/",""
"","9th-mi_bronze","【ピストバイク 完成車】 クリエイト 9th ブロンズ  (CREATE 9th Mint / A-Bronze) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","完成車\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000125/",""
"","9th-p_r","【ピストバイク 完成車】 クリエイト 9th レッド  (CREATE 9th Chrome / A-Red) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","パーツ\完成車","9999","http://item.rakuten.co.jp/brotures/c/0000000127/",""
"","9th-p_r","【ピストバイク 完成車】 クリエイト 9th レッド  (CREATE 9th Chrome / A-Red) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","ブランド\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000179/",""
"","9th-p_r","【ピストバイク 完成車】 クリエイト 9th レッド  (CREATE 9th Chrome / A-Red) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","完成車\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000125/",""
"","9th-r_p","【ピストバイク 完成車】 クリエイト 9th ポリッシュ  (CREATE 9th RED / POLISH) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","パーツ\完成車","9999","http://item.rakuten.co.jp/brotures/c/0000000127/",""
"","9th-r_p","【ピストバイク 完成車】 クリエイト 9th ポリッシュ  (CREATE 9th RED / POLISH) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","ブランド\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000179/",""
"","9th-r_p","【ピストバイク 完成車】 クリエイト 9th ポリッシュ  (CREATE 9th RED / POLISH) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","完成車\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000125/",""
"","9th-w_bl_gr","【ピストバイク 完成車】 クリエイト 9th ホワイト ブルー グリーン  (CREATE 9th Matte White / Blue / Green) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","パーツ\完成車","9999","http://item.rakuten.co.jp/brotures/c/0000000127/",""
