コントロールカラム,商品管理番号（商品URL）,商品番号,全商品ディレクトリID,タグID,PC用キャッチコピー,モバイル用キャッチコピー,商品名,販売価格,表示価格,消費税,送料,個別送料,送料区分1,送料区分2,代引料,倉庫指定,商品情報レイアウト,注文ボタン,資料請求ボタン,商品問い合わせボタン,再入荷お知らせボタン,モバイル表示,のし対応,PC用商品説明文,モバイル用商品説明文,スマートフォン用商品説明文,PC用販売説明文,商品画像URL,商品画像名（ALT）,動画,販売期間指定,注文受付数,在庫タイプ,在庫数,在庫数表示,項目選択肢別在庫用横軸項目名,項目選択肢別在庫用縦軸項目名,項目選択肢別在庫用残り表示閾値,RAC番号,サーチ非表示,闇市パスワード,カタログID,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号,予約商品発売日,ポイント変倍率,ポイント変倍率適用期間,ヘッダー・フッター・レフトナビ,表示項目の並び順,共通説明文（小）,目玉商品,共通説明文（大）,レビュー本文表示,サイズ表リンク
,442110,,563161,,バーテープ＆グリップ,crankbrothers,crankbrothers cobalt GRIP,2625,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec2/442110.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/crankbrothers/442110.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/crankbrothers/442110.jpg,crankbrotherscobaltGRIP,,,-1,0,,,,,,296915-0010003023,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,571209,,407697,,ペダル＆ストラップ,crankbrothers,crankbrothers プレミアムクリート,2310,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec2/571209.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/crankbrothers/571209.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/crankbrothers/571209.jpg,crankbrothersプレミアムクリート,,,-1,0,,,,,,296915-0010003028,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,18t_gear_ring,,563161,,スプロケット,FORMULA,FORMULA 18Tギア＆アルミロックリングセット,1207,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/formula/18t_gear_ring.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/formula/18t_gear_ring.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/formula/18t_gear_ring.jpg,FORMULA18Tギア＆アルミロックリングセット,,,-1,0,,,,,,296915-0010002104,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,34a2,,563162,,工具,Lifu,Lifu ペダルボックスレンチ,1932,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/lifu/34a2.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/lifu/34a2.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/lifu/34a2.jpg,Lifuペダルボックスレンチ,,,-1,0,,,,,,296915-0010002300,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,36q_1,,563162,,工具,Lifu,Lifu アーレンキーセット,1328,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/lifu/36q_1.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/lifu/36q_1.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/lifu/36q_1.jpg,Lifuアーレンキーセット,,,-1,0,,,,,,296915-0010002301,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,53a2,,563162,,工具,Lifu,Lifu スプロケット外し,1260,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/lifu/53a2.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/lifu/53a2.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/lifu/53a2.jpg,Lifuスプロケット外し,,,-1,0,,,,,,296915-0010002302,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,570350_800,,407697,,ペダル＆ストラップ,crankbrothers,crankbrothers クワトロ２ホールクリート,3360,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec2/570350_800.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/crankbrothers/570350_800.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/crankbrothers/570350_800.jpg,crankbrothersクワトロ２ホールクリート,,,-1,0,,,,,,296915-0010003024,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,570351_800,,407697,,ペダル＆ストラップ,crankbrothers,crankbrothers シューシールド,1260,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec2/570351_800.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/crankbrothers/570351_800.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/crankbrothers/570351_800.jpg,crankbrothersシューシールド,,,-1,0,,,,,,296915-0010003025,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,571180_800,,407697,,ペダル＆ストラップ,crankbrothers,crankbrothers トレッドコンタクトスリーブ キャンディ,1575,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec2/571180_800.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/crankbrothers/571180_800.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/crankbrothers/571180_800.jpg,crankbrothersトレッドコンタクトスリーブキャンディ,,,-1,0,,,,,,296915-0010003026,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,571181_800,,407697,,ペダル＆ストラップ,crankbrothers,crankbrothers トレッドコンタクトスリーブ エッグビーター,1575,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec2/571181_800.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/crankbrothers/571181_800.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/crankbrothers/571181_800.jpg,crankbrothersトレッドコンタクトスリーブエッグビーター,,,-1,0,,,,,,296915-0010003027,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
