商品コード,PowerDo管理商品名,店舗1商品管理番号,店舗1コントロールカラム/更新フラグ,店舗1商品名,モバイル用商品名,店舗1販売価格,定価,オープン価格フラグ,消費税,META Keyword,META Description,SKU(項目選択肢別在庫用)横軸項目名,SKU(項目選択肢別在庫用)縦軸項目名,詳細画像1,詳細画像説明1,詳細画像2,詳細画像説明2,詳細画像3,詳細画像説明3,詳細画像4,詳細画像説明4,詳細画像5,詳細画像説明5,詳細画像6,詳細画像説明6,詳細画像7,詳細画像説明7,詳細画像8,詳細画像説明8,詳細画像9,詳細画像説明9,詳細画像10,詳細画像説明10,店舗1画像URL1,店舗1画像URL2,店舗1画像URL3,店舗1画像URL4,店舗1画像URL5,店舗1画像URL6,店舗1画像URL7,店舗1画像URL8,店舗1画像URL9,店舗1画像URL10,掲載フラグ,注文ボタン,資料請求ボタン,商品問い合わせボタン,のし対応,送料,個別送料,重量,商品発売日,注文受付数,在庫タイプ,在庫数表示,店舗1在庫数,注意在庫数,予備1,予備2,予備3,予備4,予備5,予備6,予備7,予備8,予備9,予備10,予備11,予備12,予備13,予備14,予備15,予備16,予備17,予備18,予備19,予備20,項目選択肢,店舗1項目選択肢詳細値,店舗2項目選択肢詳細値,商品JANコード,課税対象,購入数入力エリア表示フラグ,最小購入制限数,販売単位数,販売単位名,個別手数料,手数料但書き,配送に関する備考,オススメコメント,非公開メモ,個別売切メッセージ,検索キーワード,生産地,ヘッダ(TITLE),代引料,店舗1PC用商品説明文,店舗1モバイル用商品説明文,店舗1PC用販売説明文,店舗1スマートフォン用商品説明文,SKUコード,並び順,JANコード,ISBNコード,送料係数,原価,店舗1項目選択肢用コントロールカラム,SKU(項目選択肢別在庫用)横軸選択肢子番号,SKU(項目選択肢別在庫用)横軸選択肢,SKU(項目選択肢別在庫用)縦軸選択肢子番号,SKU(項目選択肢別在庫用)縦軸選択肢,店舗1項目選択肢別在庫数,店舗2項目選択肢別在庫数,ストックギア連携,基本価格からの差額,商品個別掲載フラグ,商品個別名,店舗2SKU販売価格,SKUモバイル用商品名,個別注意在庫数,個別重量,楽天商品番号,楽天全商品ディレクトリID,楽天タグID,楽天PC用キャッチコピー,楽天モバイル用キャッチコピー,楽天送料区分1,楽天送料区分2,楽天商品情報レイアウト,楽天モバイル表示,楽天動画,楽天販売期間指定開始日,楽天販売期間指定終了日,楽天項目選択肢別在庫用残り表示閾値,楽天RAC番号,楽天闇市パスワード,楽天カタログ ID,楽天在庫戻しフラグ,楽天在庫切れ時の注文受付,楽天在庫あり時納期管理番号,楽天在庫切れ時納期管理番号,楽天ポイント変倍率,楽天ポイント変倍率適用期間,楽天ヘッダー・フッター・レフトナビ,楽天表示項目の並び順,楽天共通説明文（小）,楽天目玉商品,楽天共通説明文（大）,楽天レビュー本文表示,楽天あす楽配送管理番号,楽天海外配送管理番号,楽天サイズ表リンク,楽天再入荷お知らせボタン,楽天サーチ非表示,楽天医薬品説明文,楽天医薬品注意事項,楽天項目選択肢別在庫用取り寄せ可能表示,楽天商品個別 在庫戻しフラグ,楽天商品個別 在庫切れ時の注文受付,楽天商品個別 在庫あり時納期管理番号,楽天商品個別 在庫切れ時納期管理番号,Amazon商品カテゴリー,Amazon出品ID,Amazon商品名,AmazonASINコード,AmazonUPCコード,AmazonGTINコード,AmazonGCID,Amazonブランド,Amazonメーカー名,Amazonコンディション,Amazonコンディション説明,Amazon国外配送,Amazon通貨コード,Amazonパッケージ数,Amazonメーカー品番,Amazonブラウズノード1,Amazon商品タイプ,Amazon衣類大分類,Amazon商品を表現する言葉,Amazon注文から出荷までの日数,Amazon商品の入荷予定日,Amazon出品日,Amazonフルフィルメント・チャンネル,Amazon更新方法,Amazonセール価格,Amazonセール開始日,Amazonセール終了日,Amazonギフトメッセージ,Amazonギフト包装,カテゴリーパス,店舗1カテゴリー設定,優先度,1ページ複数形式,楽天カテゴリセット管理番号,ポンパレモール表示順位,取扱店舗1,取扱店舗2
376340,FELTDEVOXCARBONROAD700Cフォーク,376340,u, / （FELTDEVOXCARBONROAD700Cフォーク）, / （FELTDEVOXCARBONROAD700Cフォーク）,41790,41790,0,1,,,,,,FELTDEVOXCARBONROAD700Cフォーク,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/felt/376340.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,フォーク,FELT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/felt/376340.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/felt/376340.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,376340,0,,,,,,,,,,,,,,,,,,,,,563158,,【フォーク　FELT】,【フォーク　FELT】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\フォーク:ブランド\FELT,u:u,,::,::,::,1,
442110,crankbrotherscobaltGRIP,442110,u, / （crankbrotherscobaltGRIP）, / （crankbrotherscobaltGRIP）,2625,2625,0,1,,,,,,crankbrotherscobaltGRIP,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/crankbrothers/442110.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,CRANKBROTHERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/crankbrothers/442110.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/crankbrothers/442110.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,442110,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　CRANKBROTHERS】,【バーテープ＆グリップ　CRANKBROTHERS】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\CRANKBROTHERS,u:u,,::,::,::,1,
447811,FELTロードハンドルバーテープ,447811,u, / （FELTロードハンドルバーテープ）, / （FELTロードハンドルバーテープ）,1890,1890,0,1,,,,,,FELTロードハンドルバーテープ,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/felt/447811.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,バーテープ＆グリップ,FELT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/felt/447811.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/felt/447811.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,447811,0,,,,,,,,,,,,,,,,,,,,,563161,,【バーテープ＆グリップ　FELT】,【バーテープ＆グリップ　FELT】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\バーテープ＆グリップ:ブランド\FELT,u:u,,::,::,::,1,
470020,FELTDEVOXROADCARBON,470020,u, / （FELTDEVOXROADCARBON）, / （FELTDEVOXROADCARBON）,36540,36540,0,1,,,,,,FELTDEVOXROADCARBON,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/felt/470020.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,ハンドル,FELT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/felt/470020.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/felt/470020.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,470020,0,,,,,,,,,,,,,,,,,,,,,407699,,【ハンドル　FELT】,【ハンドル　FELT】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\ハンドル:ブランド\FELT,u:u,,::,::,::,1,
471005,FELT1.1ロードSL,471005,u, / （FELT1.1ロードSL）, / （FELT1.1ロードSL）,36540,36540,0,1,,,,,,FELT1.1ロードSL,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/felt/471005.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,ハンドル,FELT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/felt/471005.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/felt/471005.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,471005,0,,,,,,,,,,,,,,,,,,,,,407699,,【ハンドル　FELT】,【ハンドル　FELT】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\ハンドル:ブランド\FELT,u:u,,::,::,::,1,
504152,FELTトップキャップ,504152,u, / （FELTトップキャップ）, / （FELTトップキャップ）,2100,2100,0,1,,,,,,FELTトップキャップ,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/felt/504152.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,ヘッドセット,FELT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/felt/504152.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/felt/504152.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,504152,0,,,,,,,,,,,,,,,,,,,,,563156,,【ヘッドセット　FELT】,【ヘッドセット　FELT】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\ヘッドセット:ブランド\FELT,u:u,,::,::,::,1,
571209,crankbrothersプレミアムクリート,571209,u, / （crankbrothersプレミアムクリート）, / （crankbrothersプレミアムクリート）,2310,2310,0,1,,,,,,crankbrothersプレミアムクリート,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/crankbrothers/571209.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,ペダル＆ストラップ,CRANKBROTHERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/crankbrothers/571209.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/crankbrothers/571209.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,571209,0,,,,,,,,,,,,,,,,,,,,,407697,,【ペダル＆ストラップ　CRANKBROTHERS】,【ペダル＆ストラップ　CRANKBROTHERS】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\ペダル＆ストラップ:ブランド\CRANKBROTHERS,u:u,,::,::,::,1,
577287,FELTクルーザーペダルED,577287,u, / （FELTクルーザーペダルED）, / （FELTクルーザーペダルED）,1890,1890,0,1,,,,,,FELTクルーザーペダルED,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/felt/577287.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,ペダル＆ストラップ,FELT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/felt/577287.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/felt/577287.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,577287,0,,,,,,,,,,,,,,,,,,,,,407697,,【ペダル＆ストラップ　FELT】,【ペダル＆ストラップ　FELT】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\ペダル＆ストラップ:ブランド\FELT,u:u,,::,::,::,1,
577289,FELTクルーザーペダル,577289,u, / （FELTクルーザーペダル）, / （FELTクルーザーペダル）,2310,2310,0,1,,,,,,FELTクルーザーペダル,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/felt/577289.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,ペダル＆ストラップ,FELT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/felt/577289.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/felt/577289.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,577289,0,,,,,,,,,,,,,,,,,,,,,407697,,【ペダル＆ストラップ　FELT】,【ペダル＆ストラップ　FELT】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\ペダル＆ストラップ:ブランド\FELT,u:u,,::,::,::,1,
650695,FELTDEVOXROADサドル,650695,u, / （FELTDEVOXROADサドル）, / （FELTDEVOXROADサドル）,31290,31290,0,1,,,,,,FELTDEVOXROADサドル,,,,,,,,,,,,,,,,,,,http://image.rakuten.co.jp/brotures/cabinet/items/felt/650695.jpg,,,,,,,,,,1,1,0,1,0,0,,,,-1,0,,,,サドル,FELT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/felt/650695.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/felt/650695.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",,650695,0,,,,,,,,,,,,,,,,,,,,,563161,,【サドル　FELT】,【サドル　FELT】,4,,1,1,,,,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,,,,0,0,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パーツ\サドル:ブランド\FELT,u:u,,::,::,::,1,
